O	Na	Mg	Al	Si	K	Ca	Ti	Fe
2.995	0.111	0.088	0.3	1.004	0.057	0.085	0.009	0.204
2.6	0.06	0.07	0.274	0.963	0.03	0.104	0	0.035
3.124	0.103	0.057	0.283	1.056	0.027	0.151	0	0.215
3.068	0.095	0.157	0.403	1.017	0.028	0.131	0	0.055
2.825	0.067	0.178	0.228	0.97	0.034	0.229	0.007	0.048
3.268	0.063	0.097	0.286	1.112	0.068	0.232	0.023	0.132
2.826	0.128	0.047	0.301	0.909	0.054	0.181	0.028	0.134
3.036	0.115	0.102	0.324	0.963	0.009	0.111	0.017	0.241
3.03	0.122	0.007	0.313	1.033	0.055	0.174	0	0.192
3.145	0.056	0.069	0.406	0.979	0.043	0.212	0.005	0.195
3.318	0.148	0.137	0.329	1.027	0.03	0.136	0.019	0.268
3.261	0.084	0.188	0.363	1.027	0.049	0.204	0	0.198
3.268	0.119	0.137	0.427	1.021	0.062	0.125	0.035	0.15
3.088	0.109	0.121	0.371	0.998	0.038	0.141	0.005	0.184
3.03	0.06	0.113	0.29	1.04	0.021	0.117	0.013	0.191
3.103	0.142	0.166	0.356	0.968	0.027	0.117	0.03	0.18
2.687	0.075	0.022	0.271	0.995	0.027	0.079	0.03	0.067
3.105	0.138	0.145	0.316	0.931	0.033	0.238	0.05	0.146
2.903	0.111	0.131	0.261	1.044	0.063	0.132	0.037	0
3.152	0.102	0.146	0.367	0.946	0.042	0.171	0.032	0.221
2.633	0.113	0.036	0.272	0.904	0.031	0.192	0.019	0.053
2.922	0.089	0.101	0.329	0.956	0.02	0.191	0.01	0.122
3.03	0.032	0.074	0.373	0.892	0.03	0.249	0.036	0.224
2.725	0.034	0.176	0.174	1	0.036	0.115	0.019	0.087
2.97	0.045	0.106	0.314	0.995	0.06	0.138	0	0.162
3.412	0.105	0.228	0.376	0.984	0.05	0.23	0.006	0.291
2.725	0.078	0.179	0.322	0.917	0.066	0.142	0.007	0
2.915	0.023	0.183	0.212	1.002	0.022	0.207	0.006	0.134
3.299	0.121	0.048	0.52	1.062	0.024	0.075	0.016	0.121
3.194	0.112	0.136	0.334	1.002	0.026	0.225	0.005	0.171
3.299	0.152	0.098	0.31	1.066	0.024	0.285	0.013	0.204
2.966	0.003	0.065	0.424	0.965	0.046	0.284	0.007	0.008
3.016	0.057	0.062	0.285	1.044	0.044	0.068	0.041	0.176
3.341	0.1	0.14	0.486	0.989	0.081	0.261	0.015	0.083
2.994	0.152	0.098	0.283	0.954	0.008	0.205	0.01	0.181
2.967	0.061	0.112	0.335	0.945	0.016	0.239	0.007	0.124
2.865	0.101	0.125	0.265	0.956	0.085	0.126	0.02	0.146
3.568	0.083	0.112	0.397	1.14	0.019	0.264	0.011	0.21
