O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.222	0.199	0.077	0.408	0.972	0.057	0.143	0.006	0.215
3.165	0.075	0.092	0.327	1.013	0.073	0.269	0.014	0.17
3.073	0.034	0.246	0.306	0.941	0.032	0.164	0.025	0.202
3	0.132	0.075	0.229	1.024	0.015	0.328	0	0.095
3.481	0.122	0.111	0.446	1.061	0.046	0.211	0.025	0.204
3.414	0.133	0.151	0.313	1.068	0.027	0.221	0.004	0.275
3.115	0.044	0.119	0.369	0.996	0.016	0.138	0.003	0.198
2.905	0.121	0.047	0.262	0.999	0.031	0.17	0	0.209
3.086	0.095	0	0.394	1.016	0.062	0.123	0	0.19
3.225	0.153	0.18	0.337	1.017	0.002	0.143	0.01	0.189
2.872	0.142	0.034	0.327	0.955	0.045	0.128	0.015	0.135
3.094	0.16	0.187	0.313	0.966	0.056	0.222	0.015	0.142
3.092	0.052	0.089	0.287	0.977	0.024	0.155	0.014	0.28
2.77	0.098	0.062	0.352	0.908	0.037	0.263	0	0.026
3.12	0.028	0.11	0.269	1.085	0.047	0.211	0.012	0.115
3.06	0.094	0.084	0.347	0.934	0.033	0.136	0.061	0.195
3.006	0.098	0.108	0.342	1.038	0.035	0.215	0.014	0
3.269	0.083	0.061	0.479	1.027	0.034	0.208	0.019	0.107
3.016	0.006	0.126	0.316	0.959	0.029	0.274	0	0.155
2.928	0.155	0.084	0.331	0.942	0.034	0.219	0	0.106
2.953	0.119	0.13	0.226	0.988	0.054	0.204	0.032	0.144
3.336	0.122	0.172	0.375	1.009	0.061	0.213	0.05	0.149
3.021	0.036	0.175	0.425	0.982	0.06	0.158	0.019	0
2.736	0.071	0.211	0.281	0.918	0.047	0.21	0	0
3.13	0.064	0.123	0.372	0.95	0.016	0.145	0.024	0.233
3.187	0.154	0.155	0.357	1.002	0.043	0.148	0	0.179
3.456	0.158	0.201	0.479	0.983	0.053	0.101	0.022	0.216
2.993	0.059	0.102	0.412	0.895	0.05	0.322	0	0.104
2.745	0.095	0.129	0.375	0.933	0.01	0.004	0.009	0.096
3.365	0.109	0.131	0.284	0.992	0.037	0.197	0.046	0.317
3.256	0.141	0.211	0.392	0.941	0.019	0.182	0.032	0.207
3.113	0.109	0.106	0.394	1.07	0.073	0.06	0	0.105
3.232	0.08	0.108	0.398	1.01	0.016	0.196	0.011	0.175
3.159	0.111	0.127	0.286	0.978	0.048	0.241	0.026	0.211
3.098	0.09	0.06	0.402	1.012	0.053	0.103	0.007	0.17
3.161	0.037	0.06	0.465	0.863	0.048	0.246	0.037	0.298
2.886	0.136	0.123	0.335	0.972	0.012	0.145	0.021	0.044
3.297	0.096	0.093	0.428	1.064	0.052	0.216	0.002	0.122
2.723	0.114	0.103	0.292	0.946	0.045	0	0	0.143
3.057	0.109	0.212	0.361	0.972	0.04	0.207	0.008	0.055
3.117	0.172	0.154	0.318	0.966	0.064	0.178	0.004	0.235
3.187	0.084	0.156	0.456	0.994	0.047	0.184	0.055	0
3.146	0.054	0.195	0.374	0.988	0.049	0.115	0.018	0.197
2.879	0.129	0.121	0.269	1.019	0.032	0.135	0	0.079
3.264	0.054	0.132	0.335	1.035	0.019	0.157	0.008	0.291
2.969	0.152	0.067	0.242	0.94	0.044	0.275	0.036	0.178
3.056	0.04	0.1	0.331	1.05	0.073	0.191	0.015	0.068
2.934	0.097	0.149	0.243	0.91	0.028	0.219	0.013	0.248
3.258	0.075	0.11	0.376	0.992	0.047	0.305	0.023	0.155
2.855	0.084	0.119	0.274	0.994	0.028	0.132	0	0.132
2.912	0.042	0.177	0.256	0.924	0.058	0.272	0.019	0.132
2.899	0.133	0.088	0.244	1.051	0.034	0.113	0.002	0.095
2.969	0.116	0.065	0.307	1.026	0.027	0.145	0	0.118
2.945	0.01	0.106	0.323	0.96	0.043	0.135	0.023	0.175
3.139	0.084	0.104	0.327	0.987	0.045	0.143	0.003	0.263
3.214	0.071	0.18	0.342	1.035	0.058	0.181	0.021	0.142
3.184	0.097	0.159	0.258	1.067	0.029	0.247	0.005	0.13
2.871	0.18	0.068	0.349	0.923	0.082	0.128	0.009	0.134
3.482	0.086	0.149	0.405	1.087	0.034	0.219	0.019	0.218
2.89	0.066	0.057	0.305	0.978	0.037	0.224	0.016	0.11
2.799	0.032	0.132	0.384	0.927	0.04	0.143	0.007	0.042
3.404	0.041	0.153	0.356	1.099	0.047	0.291	0	0.176
2.995	0.046	0.163	0.377	0.955	0.043	0.128	0.003	0.151
3.181	0.156	0.063	0.361	1.071	0.032	0.136	0.03	0.104
2.91	0.195	0.135	0.305	0.99	0.042	0.029	0.033	0.113
3.137	0.084	0.14	0.306	1.018	0.049	0.156	0.005	0.233
3.114	0.103	0.13	0.246	1.031	0.019	0.214	0.018	0.217
3.041	0.037	0.178	0.284	0.982	0.016	0.192	0.038	0.157
3.1	0.063	0.264	0.263	1.045	0.054	0.128	0.013	0.112
2.896	0.094	0.147	0.184	1.07	0.018	0.174	0.012	0.067
3.167	0.064	0.145	0.351	0.983	0.017	0.262	0.004	0.202
3.031	0.059	0.165	0.356	0.978	0.062	0.203	0	0.077
2.754	0.067	0	0.275	0.942	0.034	0.297	0.015	0.071
2.944	0.055	0.15	0.356	0.943	0.045	0.086	0	0.16
3.106	0.121	0.127	0.333	0.977	0.024	0.104	0.004	0.251
2.929	0.054	0.179	0.312	0.982	0.048	0.133	0.026	0.071
2.863	0.108	0.179	0.349	0.936	0.038	0.076	0	0.107
2.864	0.092	0.155	0.331	0.972	0.031	0.208	0	0
2.896	0.098	0.137	0.361	0.902	0.04	0.145	0.013	0.173
2.861	0.109	0.067	0.253	0.983	0.05	0.21	0.021	0.112
3.13	0.108	0.122	0.41	0.942	0.017	0.215	0.035	0.159
3.018	0.025	0.109	0.301	0.855	0.035	0.253	0.026	0.315
3.329	0.061	0.117	0.404	1.037	0.054	0.233	0.036	0.12
3.152	0.08	0.083	0.417	0.939	0.038	0.199	0.035	0.213
2.621	0	0.158	0.199	0.934	0.035	0.255	0.012	0
2.801	0.064	0.009	0.26	0.987	0.039	0.237	0.033	0.069
3.142	0.106	0.188	0.362	0.95	0.044	0.27	0.019	0.119
3.193	0.04	0.229	0.323	0.991	0.042	0.211	0	0.194
3.132	0.077	0.167	0.369	1.035	0.05	0.105	0.005	0.115
3.009	0.126	0.131	0.465	0.917	0.032	0.22	0.02	0.005
2.977	0.14	0.079	0.317	0.922	0.048	0.227	0.016	0.201
2.946	0.081	0.154	0.343	0.886	0.006	0.139	0.032	0.23
2.803	0.071	0.131	0.29	0.954	0.036	0.185	0.013	0.059
2.947	0.099	0.128	0.318	1.003	0.021	0.126	0.036	0.054
2.968	0.114	0.075	0.323	0.936	0.018	0.147	0.039	0.21
2.975	0.161	0.086	0.352	0.907	0.039	0.22	0.019	0.151
2.803	0.029	0.036	0.352	0.89	0.051	0.19	0	0.21
3.141	0.063	0.167	0.369	0.888	0.066	0.184	0	0.326
3.222	0.177	0.098	0.402	0.955	0.025	0.134	0.023	0.245
2.966	0.096	0.17	0.364	0.886	0.044	0.092	0.057	0.156
3.141	0.052	0.099	0.37	0.976	0.035	0.235	0	0.204
2.894	0.085	0.11	0.289	0.936	0.042	0.249	0.015	0.1
2.843	0.157	0.113	0.304	0.987	0.032	0.111	0	0.074
3.143	0.067	0.058	0.408	1.031	0.014	0.19	0.011	0.121
3.023	0.005	0.147	0.356	0.902	0.057	0.186	0.027	0.179
3.089	0.073	0.064	0.349	1.019	0.043	0.141	0.042	0.135
2.915	0.094	0.082	0.124	1.016	0.066	0.147	0.027	0.301
2.919	0.024	0.188	0.255	0.994	0.054	0.156	0.014	0.12
3.38	0.123	0.246	0.401	0.995	0.054	0.235	0.05	0.113
2.836	0.08	0.107	0.298	0.953	0.037	0.139	0.018	0.116
2.819	0.083	0.093	0.299	0.951	0.038	0.094	0.006	0.168
2.863	0.075	0.001	0.401	0.927	0.036	0.157	0.02	0.111
3.15	0.126	0.148	0.282	1.04	0.047	0.156	0.008	0.238
3.196	0.121	0.102	0.342	1.045	0.038	0.04	0.025	0.245
2.945	0.075	0.108	0.31	0.992	0.048	0.167	0.008	0.104
3.427	0.139	0.14	0.395	0.971	0.052	0.247	0.031	0.252
3.305	0.11	0.112	0.356	1.064	0.027	0.093	0.013	0.265
3.072	0.104	0.133	0.499	0.973	0.018	0.115	0	0.065
3.077	0.132	0.105	0.248	1.039	0.038	0.293	0	0.106
3.076	0.041	0.155	0.398	0.964	0.047	0.176	0	0.138
3.229	0.138	0.1	0.396	0.997	0.029	0.236	0.022	0.133
2.684	0.073	0.086	0.275	0.981	0.043	0.084	0.041	0
3.164	0.059	0.09	0.413	0.935	0.065	0.215	0.035	0.192
2.746	0.137	0.08	0.219	0.976	0.033	0.183	0	0.081
2.995	0.091	0.196	0.171	0.983	0.057	0.171	0.022	0.265
3.094	0.112	0.19	0.211	0.971	0.046	0.253	0.038	0.165
3.184	0.046	0.097	0.406	1.018	0.027	0.209	0.012	0.152
2.707	0.063	0.083	0.289	0.89	0.049	0.107	0.018	0.212
3.016	0.078	0.128	0.329	0.973	0.026	0.092	0.018	0.216
2.763	0.052	0.154	0.259	0.911	0.026	0.187	0.012	0.121
2.979	0.154	0.117	0.351	0.871	0.026	0.188	0.016	0.221
3.488	0.122	0.124	0.51	1.04	0.06	0.229	0	0.138
2.853	0.086	0.117	0.277	0.996	0.022	0.134	0.018	0.082
3.44	0.141	0.187	0.395	0.97	0.032	0.16	0.029	0.302
2.775	0.129	0.155	0.269	0.939	0.051	0.08	0.024	0.113
3.233	0.143	0.096	0.369	1.049	0.038	0.146	0.018	0.203
3.058	0.128	0.137	0.35	1.017	0.028	0.141	0.029	0.074
3.142	0.142	0.147	0.287	1.01	0.05	0.153	0.011	0.232
3.025	0.095	0.165	0.397	0.915	0.032	0.228	0.019	0.081
3.157	0.069	0.158	0.39	0.969	0.052	0.121	0.01	0.205
3.078	0.132	0.162	0.337	0.923	0.066	0.228	0.008	0.162
2.663	0.069	0.105	0.23	0.883	0.034	0.142	0.014	0.182
2.923	0.045	0.109	0.296	1.022	0.063	0.049	0.026	0.16
3.124	0.147	0.136	0.355	1.023	0.052	0.152	0.078	0
3.001	0.091	0.123	0.301	0.992	0.039	0.223	0.01	0.107
3.286	0.091	0.087	0.438	1.024	0.05	0.207	0.012	0.145
2.755	0.071	0.136	0.281	0.989	0.044	0.018	0.018	0.092
2.868	0.081	0.045	0.261	0.952	0.033	0.342	0.028	0.068
3.089	0.031	0.053	0.364	0.99	0.025	0.167	0.013	0.236
3.007	0.185	0.187	0.318	0.979	0.037	0.158	0	0.081
3.052	0.112	0.072	0.379	0.897	0.041	0.201	0.042	0.227
3.096	0.081	0.123	0.304	0.968	0.049	0.191	0.032	0.193
2.966	0.056	0.074	0.249	1.081	0.047	0.178	0.003	0.112
3.384	0.193	0.081	0.44	1.031	0.056	0.187	0	0.221
2.998	0.052	0.1	0.287	0.998	0.051	0.263	0.023	0.089
2.957	0.037	0.109	0.338	0.943	0.022	0.199	0.011	0.187
3.466	0.142	0.105	0.405	1.02	0.063	0.306	0.015	0.239
3.053	0.112	0.16	0.326	0.993	0.005	0.142	0.007	0.18
2.767	0.071	0.013	0.364	0.934	0.051	0.18	0.024	0.039
3.006	0.043	0.139	0.356	0.968	0.051	0.19	0.02	0.091
3.031	0.146	0.2	0.237	0.943	0	0.207	0.013	0.232
2.84	0.12	0.097	0.337	0.98	0.01	0.16	0.008	0.027
3.154	0.156	0.074	0.367	1.041	0.015	0.179	0.02	0.128
3.055	0.022	0.093	0.305	0.991	0.039	0.149	0.054	0.199
3.139	0.156	0.175	0.265	1.021	0.008	0.177	0.041	0.145
3.113	0.17	0.111	0.362	1.015	0.004	0.153	0.013	0.148
2.7	0.068	0.166	0.289	0.918	0.047	0.072	0	0.101
2.999	0.11	0.145	0.39	0.932	0.005	0.097	0.014	0.181
2.885	0.117	0.038	0.211	1.014	0.072	0.147	0.022	0.154
2.942	0.146	0.14	0.359	1.009	0.045	0.078	0.017	0.035
3.031	0.044	0.151	0.281	0.995	0.053	0.194	0.032	0.154
3.301	0.102	0.092	0.424	0.982	0.06	0.191	0.013	0.222
3.213	0.108	0.119	0.362	0.958	0.024	0.204	0.041	0.258
2.967	0.013	0.091	0.293	0.958	0	0.094	0.034	0.242
2.936	0.07	0.069	0.303	1.005	0.035	0.176	0	0.137
2.747	0.101	0.013	0.252	0.903	0.027	0.197	0.023	0.166
2.883	0.066	0.069	0.37	0.973	0.028	0.098	0.009	0.123
2.832	0.032	0.13	0.276	0.957	0.049	0.165	0.015	0.108
2.622	0.048	0.081	0.249	0.873	0.033	0.216	0.014	0.127
3.031	0.098	0.176	0.323	0.937	0.047	0.256	0.017	0.101
3.366	0.105	0.056	0.513	1.056	0.057	0.16	0.026	0.124
2.555	0.027	0.023	0.194	0.958	0.004	0.103	0	0.167
2.606	0.109	0	0.228	0.908	0.07	0.116	0.038	0.115
3.009	0.093	0.138	0.236	1.082	0.015	0.137	0.028	0.103
3.341	0.019	0.199	0.427	1.011	0.024	0.187	0.02	0.184
3.207	0.076	0.117	0.462	0.983	0.041	0.182	0.049	0.064
3.119	0.098	0.035	0.411	0.96	0.03	0.207	0.017	0.242
3.089	0.088	0.08	0.454	0.973	0.017	0.159	0.021	0.11
3.158	0.121	0.134	0.29	0.998	0.059	0.161	0.007	0.3
3.392	0.086	0.083	0.469	1.029	0.032	0.105	0	0.286
3.178	0.048	0.13	0.374	1.051	0.024	0.169	0	0.148
2.932	0.029	0.176	0.402	0.954	0.049	0	0.014	0.133
3.077	0.114	0.12	0.326	0.991	0.04	0.146	0.044	0.12
3.068	0.107	0.047	0.329	1.016	0.047	0.146	0.023	0.211
2.8	0.009	0.142	0.184	0.986	0.071	0.163	0	0.15
2.827	0.06	0.084	0.296	1.071	0.017	0.108	0	0.009
2.874	0.082	0.035	0.291	1.008	0.041	0.19	0	0.094
3.238	0.073	0.142	0.31	1.043	0.043	0.24	0	0.196
2.718	0.03	0.123	0.22	1.004	0.06	0.143	0.008	0.038
3.061	0.133	0.131	0.344	1.062	0.043	0.144	0	0.045
2.954	0.181	0.145	0.267	1.039	0.033	0.105	0.013	0.09
2.976	0.068	0.104	0.305	1.023	0.042	0.1	0.016	0.169
2.835	0.071	0.161	0.365	0.858	0.072	0.172	0.025	0.086
3.346	0.09	0.124	0.468	0.971	0.042	0.198	0.007	0.215
2.941	0.145	0.091	0.397	0.924	0.033	0.176	0.019	0.098
2.882	0.067	0.089	0.233	0.982	0.058	0.094	0	0.301
2.904	0.147	0.011	0.264	0.956	0.041	0.234	0.054	0.136
3.061	0.063	0.165	0.372	0.988	0.058	0.046	0.048	0.139
2.54	0.156	0.099	0.217	0.925	0.022	0.171	0	0.004
2.918	0.107	0.042	0.258	0.976	0.05	0.095	0.02	0.23
2.869	0.136	0.173	0.341	1.04	0.041	0.016	0	0
3.274	0.12	0.11	0.366	1.087	0.023	0.149	0.002	0.163
3.173	0.119	0.173	0.439	0.96	0.064	0.281	0	0.038
2.986	0.1	0.111	0.418	0.874	0.048	0.168	0	0.173
3.222	0.061	0.111	0.388	1.027	0.014	0.274	0.015	0.107
3.009	0.118	0.172	0.389	0.932	0.057	0	0	0.22
3.073	0.142	0.134	0.374	0.906	0.032	0.202	0.026	0.173
3.049	0.044	0.099	0.272	0.969	0.028	0.266	0.003	0.23
3.325	0.101	0.196	0.332	1.015	0.025	0.318	0.028	0.14
3.276	0.045	0.143	0.382	1.018	0.009	0.229	0.023	0.189
2.883	0.047	0.123	0.303	0.959	0.042	0.23	0.053	0.003
3.268	0.087	0.121	0.373	0.996	0.019	0.22	0.045	0.183
3.102	0.127	0.063	0.421	1.007	0.069	0.097	0.01	0.163
2.948	0	0.131	0.368	0.963	0.034	0.135	0.008	0.121
3.155	0.098	0.106	0.395	0.943	0.027	0.209	0.024	0.216
2.72	0.061	0.03	0.366	0.906	0.063	0.144	0	0.111
3.166	0.004	0.132	0.305	0.949	0.072	0.262	0.033	0.26
3.128	0.028	0.145	0.308	0.97	0.025	0.124	0.02	0.267
3.197	0.097	0.241	0.368	0.963	0.049	0.184	0	0.214
3.069	0.14	0.103	0.301	1.079	0.056	0.226	0.006	0.014
2.861	0.032	0.073	0.27	1.008	0.031	0.173	0	0.139
2.99	0.075	0.134	0.308	0.953	0.04	0.195	0.056	0.111
2.94	0.119	0.097	0.301	1.005	0.022	0.101	0.033	0.099
3.238	0.138	0.162	0.441	0.93	0.031	0.243	0.001	0.158
3.253	0.103	0.064	0.431	1.036	0.04	0.207	0	0.142
2.624	0.105	0.107	0.228	0.921	0.038	0.225	0	0.025
3.175	0.092	0.087	0.366	1.031	0.033	0.255	0.012	0.094
3.036	0.073	0.14	0.369	0.983	0.054	0.128	0.006	0.143
2.924	0.064	0.086	0.353	0.939	0.026	0.164	0.029	0.162
3.354	0.046	0.112	0.348	1.03	0.022	0.267	0	0.319
3.001	0.083	0.073	0.395	1.026	0.05	0.127	0.003	0.075
3.316	0.058	0.194	0.399	0.899	0.072	0.259	0.025	0.254
2.883	0.141	0.028	0.319	1.032	0.042	0.064	0.012	0.123
2.769	0.001	0.137	0.268	0.857	0.008	0.27	0.004	0.186
3.163	0.049	0.163	0.255	1.008	0.021	0.238	0.02	0.239
2.917	0.139	0.07	0.327	0.917	0.038	0.205	0	0.183
2.994	0.053	0.097	0.328	0.978	0.05	0.201	0.033	0.111
3.364	0.164	0.068	0.427	1.019	0.041	0.216	0.052	0.19
3.003	0.09	0.171	0.363	0.96	0.046	0.185	0	0.079
3.086	0.085	0.13	0.434	0.979	0.048	0.116	0.015	0.1
2.759	0.075	0.111	0.31	0.932	0.064	0.057	0	0.154
2.688	0.035	0.074	0.217	1.018	0.009	0.116	0	0.095
2.851	0.036	0.144	0.252	0.93	0.069	0.222	0.025	0.109
2.885	0.009	0.057	0.285	0.951	0.039	0.298	0.015	0.131
2.932	0.121	0.149	0.317	0.972	0.045	0.072	0.059	0.08
3.301	0.122	0.135	0.492	0.952	0.048	0.241	0.006	0.159
3.011	0.18	0.066	0.375	1.041	0.046	0.094	0.025	0.038
3.122	0.141	0.018	0.397	0.953	0.029	0.197	0.035	0.2
3.282	0.097	0.152	0.315	1.078	0.01	0.233	0.018	0.127
2.837	0.095	0.06	0.387	0.933	0.044	0.123	0.027	0.058
3.378	0.131	0.101	0.333	1.061	0.056	0.237	0.042	0.189
2.907	0.095	0.156	0.293	0.938	0.046	0.151	0.011	0.145
2.978	0.098	0.155	0.387	0.981	0.039	0.097	0	0.089
3.25	0.095	0.185	0.288	0.922	0.018	0.214	0.04	0.365
2.889	0.147	0.048	0.221	0.991	0.035	0.279	0.012	0.099
2.551	0.048	0.115	0.187	0.858	0.043	0.188	0	0.173
2.964	0.01	0.147	0.308	0.973	0.017	0.114	0.005	0.205
3.044	0.05	0.202	0.298	1.006	0.011	0.232	0.005	0.08
2.925	0.045	0.175	0.295	0.952	0.052	0.155	0.005	0.136
3.028	0.154	0.082	0.376	0.967	0.029	0.004	0.024	0.297
3.223	0.087	0.074	0.421	1.03	0.021	0.232	0.01	0.137
3.249	0.157	0.135	0.344	1.005	0.049	0.203	0.017	0.198
3.203	0.17	0.112	0.303	1.011	0.041	0.266	0.019	0.179
2.956	0.138	0.016	0.359	0.949	0.044	0.196	0	0.149
3.2	0.082	0.077	0.345	0.997	0.039	0.272	0.008	0.222
3.18	0.111	0.077	0.398	1.012	0.043	0.132	0.001	0.245
2.838	0.155	0.103	0.235	0.984	0.06	0.2	0	0.09
2.883	0.153	0.101	0.26	0.98	0.045	0.301	0.002	0.02
3.457	0.06	0.156	0.396	1.021	0.05	0.298	0.016	0.192
2.913	0.098	0.128	0.279	0.962	0.049	0.071	0	0.209
2.706	0.082	0.07	0.24	0.977	0.043	0.205	0.025	0.006
2.891	0.089	0.102	0.307	0.99	0.001	0.136	0	0.125
3.438	0.115	0.094	0.439	1.044	0.007	0.149	0.035	0.252
2.914	0	0.12	0.341	1.01	0.039	0.2	0	0.039
3.022	0.041	0.157	0.289	1.027	0.045	0.177	0	0.123
3.254	0.085	0.128	0.277	1.001	0.011	0.293	0.037	0.2
2.982	0.078	0.056	0.337	0.963	0.039	0.174	0.038	0.133
2.781	0.01	0.069	0.321	0.95	0.061	0.13	0.032	0.074
2.979	0.013	0.136	0.371	1.001	0.046	0.158	0.025	0.039
3.115	0.05	0.14	0.426	0.969	0.052	0.061	0.023	0.19
2.766	0.071	0.016	0.229	1.024	0.054	0.184	0	0.112
2.761	0.104	0.157	0.273	0.952	0.035	0.063	0	0.122
2.801	0.112	0.122	0.265	0.971	0.035	0.062	0.012	0.124
3.064	0.028	0.122	0.272	0.951	0.018	0.197	0	0.309
3.14	0.087	0.024	0.317	0.945	0.062	0.161	0.037	0.342
3.073	0.057	0.141	0.407	0.971	0.015	0.191	0.016	0.102
3.425	0.082	0.129	0.285	1.136	0.017	0.217	0.02	0.21
3.136	0.08	0.064	0.41	1.034	0.042	0.217	0	0.105
3.001	0.063	0.097	0.238	1.004	0.054	0.24	0.008	0.192
3	0.019	0.1	0.327	0.99	0.01	0.175	0.008	0.218
3.169	0.141	0.112	0.369	0.969	0.054	0.106	0.029	0.298
2.975	0.151	0.149	0.365	0.984	0.04	0.155	0.023	0.011
3.197	0.129	0.093	0.371	1.042	0.024	0.166	0.012	0.192
3.187	0.044	0.195	0.308	1.061	0.033	0.235	0.028	0.062
2.766	0.083	0.04	0.232	0.945	0.044	0.297	0.015	0.091
2.992	0.136	0.192	0.244	1.001	0.024	0.035	0.032	0.243
3.089	0.048	0.091	0.245	0.968	0.01	0.284	0.043	0.206
3.036	0.131	0.132	0.386	0.978	0.049	0.128	0.009	0.092
3.361	0.016	0.089	0.444	1.03	0.016	0.268	0.003	0.176
3.079	0.06	0.079	0.346	0.993	0.042	0.079	0	0.274
3.254	0.064	0.089	0.362	0.988	0.036	0.236	0.024	0.208
3.139	0.039	0.197	0.399	0.981	0.056	0.168	0.008	0.133
2.649	0	0.123	0.231	0.978	0.052	0.163	0.018	0
3.379	0.12	0.144	0.481	0.974	0.066	0.123	0.061	0.176
3.235	0.12	0.234	0.376	0.938	0.037	0.128	0.023	0.214
2.957	0.032	0.124	0.316	0.916	0.03	0.21	0.016	0.245
3.257	0.123	0.199	0.286	1.089	0.023	0.162	0.006	0.137
3.219	0.095	0.173	0.4	1.008	0.024	0.212	0	0.149
3.283	0.081	0.177	0.297	1.07	0.072	0.231	0.015	0.156
3.035	0.08	0.081	0.33	0.941	0.059	0.17	0	0.24
3.043	0.111	0.13	0.373	0.981	0.036	0.141	0.022	0.113
2.913	0.058	0.077	0.304	0.954	0.062	0.103	0.022	0.257
3.393	0.09	0.1	0.358	1.005	0.027	0.254	0.019	0.269
2.877	0.016	0.11	0.308	0.918	0.039	0.11	0.03	0.215
3.232	0.138	0.154	0.288	1.032	0.04	0.211	0.04	0.191
3.318	0.046	0.109	0.322	1.034	0.024	0.329	0.017	0.226
3.142	0.052	0.145	0.423	0.93	0.04	0.132	0	0.259
2.894	0.065	0.137	0.34	0.954	0.032	0.101	0.018	0.143
2.929	0.113	0.137	0.305	0.995	0.021	0.209	0.005	0.045
3.479	0.135	0.174	0.352	0.999	0	0.231	0.021	0.308
2.845	0.125	0.132	0.397	0.879	0.026	0.224	0	0.054
2.971	0.056	0.061	0.286	0.991	0.054	0.193	0.027	0.138
2.994	0.1	0.077	0.446	0.981	0.039	0.108	0.016	0.062
3.159	0.021	0.189	0.257	0.984	0.046	0.186	0.021	0.262
3.152	0.155	0.093	0.467	1	0.028	0.157	0.037	0.025
2.464	0.147	0.062	0.183	0.913	0.021	0.117	0.016	0.064
3.028	0.092	0.136	0.395	0.968	0.03	0.099	0.015	0.167
2.896	0.053	0.148	0.361	0.914	0.048	0.139	0.009	0.17
3.142	0.035	0.1	0.394	1.041	0.039	0.166	0	0.161
2.83	0.097	0.068	0.169	0.969	0.039	0.16	0.009	0.268
3.112	0.059	0.064	0.408	0.912	0.02	0.188	0.034	0.287
3.118	0.045	0.143	0.276	1.048	0.058	0.102	0.043	0.177
3.399	0.091	0.186	0.354	0.964	0.015	0.121	0.032	0.346
3.058	0.016	0.194	0.37	0.985	0.054	0.168	0.044	0.035
2.796	0.06	0.067	0.352	0.986	0.071	0.075	0	0.064
2.57	0.082	0.073	0.211	0.967	0.044	0.152	0.004	0.018
3.085	0.063	0.106	0.326	1.009	0.034	0.215	0.048	0.085
3.113	0.1	0.063	0.322	1.006	0.031	0.106	0.027	0.259
2.981	0.081	0.102	0.313	1.012	0.03	0.087	0.034	0.12
3.38	0.098	0.112	0.473	0.985	0.028	0.19	0.02	0.256
3.04	0.101	0.155	0.304	0.956	0.043	0.184	0.004	0.247
2.775	0.109	0	0.283	0.976	0.05	0.133	0.017	0.128
3.096	0.088	0.063	0.349	0.952	0.051	0.187	0.035	0.212
2.905	0.177	0.072	0.285	0.995	0.034	0.224	0	0.079
3.195	0.088	0.054	0.382	1.019	0.058	0.128	0.007	0.285
2.965	0.077	0.081	0.281	0.998	0.027	0.128	0.003	0.233
2.809	0.081	0.071	0.294	0.962	0.055	0.111	0.021	0.149
3.007	0.054	0.044	0.339	0.938	0.036	0.115	0.022	0.25
3.25	0.059	0.13	0.457	0.972	0.06	0.135	0.036	0.152
3.032	0.115	0.185	0.289	0.979	0.074	0.278	0.006	0.062
3.048	0.135	0.052	0.43	0.997	0.028	0.141	0.01	0.107
3.009	0.066	0.082	0.28	1.014	0.054	0.156	0.021	0.153
2.952	0.05	0.088	0.321	1.026	0.012	0.237	0.007	0.039
3.016	0.053	0.113	0.298	0.954	0.05	0.189	0.05	0.157
2.626	0.15	0.096	0.232	0.931	0.031	0.077	0.01	0.115
2.986	0.067	0.158	0.39	0.987	0.042	0.074	0.034	0.071
2.893	0.057	0.123	0.362	0.95	0.027	0.12	0.009	0.11
3.392	0.08	0.088	0.498	0.989	0.038	0.199	0	0.266
2.991	0.114	0.022	0.379	0.965	0.02	0.175	0	0.166
3.183	0.084	0.153	0.37	1.069	0.036	0.156	0	0.102
2.896	0.043	0.184	0.293	0.985	0.035	0.146	0.011	0.095
2.982	0.051	0.187	0.296	1.02	0.052	0.051	0.039	0.124
3.395	0.078	0.18	0.241	1.014	0.065	0.283	0.036	0.278
2.982	0.075	0.114	0.402	1.033	0.036	0.027	0.03	0.055
2.937	0.073	0.134	0.322	0.984	0.035	0.17	0.015	0.083
3.199	0.162	0.107	0.404	1.027	0.036	0.209	0.022	0.056
2.927	0.094	0.07	0.332	0.968	0.017	0.13	0.009	0.165
2.859	0.132	0.17	0.443	0.922	0.031	0.099	0	0
2.985	0.06	0.121	0.41	0.932	0.007	0.193	0.007	0.119
2.989	0.118	0.102	0.305	1.042	0.043	0.157	0	0.084
3.279	0.049	0.165	0.443	0.987	0.036	0.157	0.042	0.186
3.269	0.061	0.102	0.414	1.032	0.04	0.257	0.023	0.116
3.332	0.081	0.085	0.316	1.066	0.02	0.165	0.011	0.29
3.042	0.068	0.121	0.234	1.002	0.067	0.352	0.01	0.123
3.06	0.12	0.051	0.337	0.969	0.049	0.304	0	0.165
3.071	0.13	0.179	0.357	0.923	0.035	0.283	0	0.131
3.194	0.091	0.118	0.395	1.022	0.032	0.226	0.015	0.116
3.055	0.039	0.192	0.243	0.939	0.037	0.302	0.026	0.169
3.071	0.094	0.171	0.363	0.959	0.035	0.215	0	0.157
3.101	0.055	0.065	0.324	1.012	0.018	0.362	0.02	0.076
3.018	0.061	0.088	0.342	0.964	0.064	0.174	0	0.2
2.706	0.158	0.078	0.201	0.937	0.056	0.188	0.009	0.093
3.261	0.067	0.092	0.32	1.035	0.044	0.201	0.02	0.23
3.331	0.042	0.157	0.471	1.025	0.049	0.235	0.007	0.105
