	Thin Section	Site	Spectrum Label	O	Na	Mg	Al	Si	P	Cl	K	S	Ca	Ti	Cr	V	Mn	Fe	Cu	Ag	Co	Ba	Eu	La	Ce	Pr	Nd	Sm	W	Mixture with quartz	Cluster_1	Mineral name 1	Mineral name 2
130	1b	4	3	61.63	0.18	5.08	4.44	21.67		0	0.94	0	0.67	0		0	0	5.39	0	0	0	0	0	0	0	0	0	0	0	0	7	Clinopotilite/Glaucophane	
131	1b	13	6	59.54	0	6.35	3.64	21.3		0.12	1.85	0	0.8	0		0	0	6.4	0	0	0	0	0	0	0	0	0	0	0	0	7	Clinopotilite/Glaucophane	
132	1b	9	2	58.36	0	10.09	5.09	21.31		0.25	0.57	0	0.74	0		0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	8	Tremolite??	
133	1b	9	3	58.3	0	4.59	7.99	22.83		1.31	0.68	0	0.91	0		0	0	3.39	0	0	0	0	0	0	0	0	0	0	0	0	8	Tremolite??	
134	1b	9	4	60.24	5.25	0	9.92	21.83		0	0.34	0	2.11	0		0	0	0.31	0	0	0	0	0	0	0	0	0	0	0	0	9	Plagioclase	Oligoclase
135	25b	4	3	64.92	0	0	0	0.6		0	0	0	0.16	30.46		0	0	3.85	0	0	0	0	0	0	0	0	0	0	0	0	10	Anatase/Rutile	
136	25b	4	4	61.59	0	2.87	8.08	22.16		0.16	0.14	0	0.91	1		0	0	3.1	0	0	0	0	0	0	0	0	0	0	0	0	10	Heulandite/Mordenite	*No Clinoptilolite, Si:Al<4
137	25b	4	5	62.42	0	0	0.37	0.94		0	0	0	0	18.53		0	0	17.75	0	0	0	0	0	0	0	0	0	0	0	0	10	Anatase/Rutile	
138	25b	8	3	57.65	1.11	1.89	5.33	22.55		0	3.95	0	1.11	0.7		0	0	5.71	0	0	0	0	0	0	0	0	0	0	0	0	11	Kfs	
139	1b	5	2	59.95	2.59	0	7.72	24.94		0	4.41	0	0	0		0	0	0.4	0	0	0	0	0	0	0	0	0	0	0	0	12	Kfs/Microcline/Sanidine	
140	1b	5	4	59.37	2.02	0	7.94	24.51		0	5.56	0	0	0		0	0	0.59	0	0	0	0	0	0	0	0	0	0	0	0	12	Kfs/Microcline/Sanidine	
141	1b	6	4	59.71	2.33	0	7.71	24.82		0.11	5.05	0	0	0		0	0	0.27	0	0	0	0	0	0	0	0	0	0	0	0	12	Kfs/Microcline/Sanidine	
142	25b	4	2	59.74	3.45	0	8.5	24.12		0	4.18	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	Kfs/Microcline/Sanidine/Leucite	
143	1b	4	2	65.74	0	1.84	2.06	26.97		0	0.24	0	0.25	0		0	0	2.9	0	0	0	0	0	0	0	0	0	0	0	0	13	Mordenite/Clinopotilite	
144	1b	6	5	61.9	1.44	0	5.11	28.08		0	3.48	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	Clinoptilite	
145	1b	5	3	59.98	0	0	0.81	0.3		0	0	0	0	0		0	0	38.91	0	0	0	0	0	0	0	0	0	0	0	0	15	Hematite/Maghemite	
